tstamp,node_id,baseurl,state,sync,status,mn.count,mn.elapsed,mn.earliest,mn.latest,cn.count,cn.elapsed,cn.earliest,cn.latest,idx.count,idx.elapsed,idx.earliest,idx.latest
2022-02-24T05:23:36+0000,urn:node:KNB,https://knb.ecoinformatics.org/knb/d1/mn,up,true,200,210776,3.8996164798736572,2012-06-14T03:48:31+0000,2022-02-18T19:21:02+0000,47440,6.317681550979614,2012-06-14T03:48:31+0000,2022-02-18T19:21:02+0000,31371,0.48039960861206055,2012-06-14T03:48:31.183Z,2022-02-18T19:21:02.324Z
2022-02-24T05:23:36+0000,urn:node:ESA,https://data.esa.org/esa/d1/mn,up,true,200,253,4.97284460067749,2013-03-01T23:51:11+0000,2015-01-06T12:37:08+0000,253,29.836017370224,2013-03-01T23:51:11+0000,2015-01-06T12:37:08+0000,157,0.5241074562072754,2013-12-21T23:30:14.304Z,2015-01-06T12:37:08.039Z
2022-02-24T05:23:36+0000,urn:node:SANPARKS,https://dataknp.sanparks.org/sanparks/d1/mn,up,true,0,,20.958491325378418,,,6418,15.911536455154419,2012-06-28T20:19:49+0000,2020-03-11T12:08:46+0000,3725,0.5117974281311035,2012-06-15T01:15:28.699Z,2017-04-20T10:46:47.344Z
2022-02-24T05:23:36+0000,urn:node:LTER,https://gmn.lternet.edu/mn,up,true,200,458396,57.55137634277344,2021-12-28T02:45:13+0000,2022-02-23T23:46:07+0000,471060,3.1521337032318115,2012-06-26T07:33:12+0000,2022-02-22T16:45:15+0000,414123,0.6031742095947266,2012-06-26T07:34:58.993Z,2022-02-21T01:45:13.506Z
2022-02-24T05:23:45+0000,urn:node:CDL,https://merritt-aws.cdlib.org:8084/mn,up,true,502,,0.664764404296875,,,242115,15.135685205459595,2012-08-12T04:11:32+0000,2020-03-11T12:07:03+0000,158007,0.5788874626159668,2012-08-12T04:11:32.659Z,2014-12-14T23:00:13.344Z
2022-02-24T05:23:45+0000,urn:node:PISCO,https://data.piscoweb.org/catalog/d1/mn,up,true,200,186433,8.9345703125,2012-08-24T06:59:48+0000,2022-02-03T01:55:52+0000,186406,8.714650630950928,2012-08-24T10:00:30+0000,2022-02-03T01:55:52+0000,177743,0.5912644863128662,2012-07-10T19:23:00.958Z,2022-02-03T01:55:52.965Z
2022-02-24T05:23:45+0000,urn:node:ONEShare,https://oneshare.unm.edu/mn,up,true,0,,20.077353477478027,,,1993,11.42838168144226,2013-01-03T23:00:02+0000,2020-07-31T15:47:52+0000,474,0.5400149822235107,2013-01-03T23:00:02.364Z,2020-07-31T15:47:52.492Z
2022-02-24T05:23:45+0000,urn:node:mnORC1,https://mn-orc-1.dataone.org/knb/d1/mn,up,false,200,53155,8.025105476379395,2013-11-14T14:27:03+0000,2022-01-19T19:33:32+0000,0,98.98599672317505,,,0,0.6521871089935303,,
2022-02-24T05:23:45+0000,urn:node:mnUNM1,https://mn-unm-1.dataone.org/knb/d1/mn,up,false,200,54594,6.948910236358643,2013-11-14T14:00:12+0000,2022-01-19T18:48:21+0000,0,90.85099649429321,,,0,0.44905591011047363,,
2022-02-24T05:23:37+0000,urn:node:mnUCSB1,https://mn-ucsb-1.dataone.org/knb/d1/mn,up,true,200,67315,5.647945165634155,,2022-02-21T19:05:24+0000,918,47.076251745224,2020-08-05T23:42:30+0000,2022-02-21T19:05:24+0000,779,0.5108280181884766,2020-08-05T23:42:30.986Z,2022-02-21T19:05:24.991Z
2022-02-24T05:23:37+0000,urn:node:TFRI,https://172.16.1.241/metacat/d1/mn,up,false,0,,20.02083730697632,,,11439,9.070576667785645,2013-06-12T02:05:00+0000,2021-11-30T08:18:46+0000,6003,0.5171267986297607,2013-06-12T00:57:18.048Z,2021-11-30T08:18:46.38Z
2022-02-24T05:23:37+0000,urn:node:SEAD,http://sead-curbee.ncsa.illinois.edu:8081/sead/rest/mn,up,true,200,110,2.3664169311523438,,2020-11-10T22:33:58+0000,113,18.065866231918335,2015-06-16T01:19:15+0000,2020-11-10T23:00:17+0000,110,0.5205166339874268,2015-06-16T01:19:15.814Z,2020-11-10T23:00:17.712Z
2022-02-24T05:23:37+0000,urn:node:GOA,https://goa.nceas.ucsb.edu/goa/d1/mn,up,true,200,3289,8.107165813446045,,2019-07-01T19:16:09+0000,3208,19.895480155944824,2014-03-05T22:13:20+0000,2019-07-01T19:16:09+0000,1686,0.48358774185180664,2014-03-05T19:26:04.186Z,2019-07-01T19:16:09.323Z
2022-02-24T05:23:37+0000,urn:node:LTER_EUROPE,https://data.lter-europe.net/knb/d1/mn,up,true,404,,0.779494047164917,,,343,29.510326862335205,2014-05-30T23:15:33+0000,2016-01-14T09:06:57+0000,343,0.5025029182434082,2014-05-30T23:15:33.237Z,2016-01-14T09:06:57.814Z
2022-02-24T05:23:37+0000,urn:node:EDACGSTORE,https://gstore.unm.edu/dataone/,up,true,200,1075,9.642769575119019,,,1075,47.84636688232422,2014-06-04T01:02:10+0000,2014-06-19T01:01:27+0000,1067,0.5278692245483398,2014-06-04T01:01:11.14Z,2014-06-19T01:01:27.907Z
2022-02-24T05:23:37+0000,urn:node:IOE,https://data.rcg.montana.edu/catalog/d1/mn,up,true,0,,0.38825130462646484,,,279,32.674240827560425,2014-08-13T18:51:12+0000,2016-06-15T21:35:12+0000,278,0.5036673545837402,2014-08-13T18:51:12.169Z,2016-06-15T21:35:12.872Z
2022-02-24T05:23:38+0000,urn:node:US_MPC,https://dataone-prod.pop.umn.edu/mn,up,true,200,,1.3312208652496338,,,1032,42.10762596130371,2014-12-16T22:42:31+0000,2014-12-16T22:54:58+0000,1032,0.4994485378265381,2014-12-16T22:42:07.21Z,2014-12-16T22:54:58.436Z
2022-02-24T05:23:38+0000,urn:node:NMEPSCOR,https://nmepscor-d1.unm.edu/mn,up,true,200,9304,7.096980810165405,2015-05-19T18:59:06+0000,2020-11-28T03:03:11+0000,3685,20.85593867301941,2015-05-19T18:59:06+0000,2019-02-28T19:37:53+0000,3658,0.47560691833496094,2015-05-19T18:59:06.371Z,2019-01-11T17:44:10.128Z
2022-02-24T05:23:38+0000,urn:node:TERN,https://dataone.tern.org.au/mn,up,true,200,14727,23.597466468811035,,,14632,24.415653467178345,2015-05-22T02:07:53+0000,2019-06-21T07:13:58+0000,14631,0.5236365795135498,2015-05-22T02:07:53.329Z,2019-06-21T07:13:58.711Z
2022-02-24T05:23:38+0000,urn:node:NKN,https://dataone.northwestknowledge.net/mn,up,true,200,4670,11.257101774215698,,,48,33.0615496635437,2015-05-30T21:33:49+0000,2016-06-22T15:03:33+0000,46,0.5642139911651611,2015-05-30T21:33:49.382Z,2016-06-22T15:03:33.789Z
